item,clase,coord
Q140282080,Q1080794,Point(-58.528114 -34.691295)
Q140282080,Q67388747,Point(-58.528114 -34.691295)
Q140282081,Q9842,Point(-58.524503 -34.702637)
Q140282081,Q423208,Point(-58.524503 -34.702637)
Q140282081,Q67388747,Point(-58.524503 -34.702637)
Q140282083,Q9842,Point(-58.53845 -34.6955)
Q140282083,Q423208,Point(-58.53845 -34.6955)
Q140282083,Q67388747,Point(-58.53845 -34.6955)
Q140282084,Q9842,Point(-58.521651 -34.680431)
Q140282084,Q423208,Point(-58.521651 -34.680431)
Q140282084,Q67388747,Point(-58.521651 -34.680431)
Q140282431,Q9842,Point(-58.53297 -34.652042)
Q140282431,Q1080794,Point(-58.53297 -34.652042)
Q140282431,Q67388747,Point(-58.53297 -34.652042)
Q140284975,Q9842,Point(-58.535487 -34.653701)
Q140284975,Q423208,Point(-58.535487 -34.653701)
Q140284975,Q67388747,Point(-58.535487 -34.653701)
Q140380902,Q174782,Point(-58.535314819 -34.67842313)
Q140393141,Q55876909,Point(-58.535931761 -34.678703062)
Q140414422,Q159334,Point(-58.539308378 -34.704626243)
Q140414422,Q1080794,Point(-58.539308378 -34.704626243)
Q140414422,Q67388747,Point(-58.539308378 -34.704626243)
Q140414424,Q159334,Point(-58.53759412 -34.709176287)
Q140414424,Q423208,Point(-58.53759412 -34.709176287)
Q140414424,Q67388747,Point(-58.53759412 -34.709176287)
Q140414496,Q159334,Point(-58.538529506 -34.639489558)
Q140414496,Q423208,Point(-58.538529506 -34.639489558)
Q140414496,Q67388747,Point(-58.538529506 -34.639489558)
Q140414497,Q159334,Point(-58.538294847 -34.629243397)
Q140414497,Q423208,Point(-58.538294847 -34.629243397)
Q140414497,Q67388747,Point(-58.538294847 -34.629243397)
Q140414498,Q159334,Point(-58.535178083 -34.632561095)
Q140414498,Q1080794,Point(-58.535178083 -34.632561095)
Q140414498,Q67388747,Point(-58.535178083 -34.632561095)
Q140414503,Q159334,Point(-58.53818992 -34.622182713)
Q140414503,Q1080794,Point(-58.53818992 -34.622182713)
Q140414503,Q67388747,Point(-58.53818992 -34.622182713)
Q140414517,Q159334,Point(-58.533113003 -34.641868142)
Q140414517,Q1080794,Point(-58.533113003 -34.641868142)
Q140414517,Q67388747,Point(-58.533113003 -34.641868142)
Q140415893,Q159334,Point(-58.525555734 -34.665474)
Q140415893,Q423208,Point(-58.525555734 -34.665474)
Q140415893,Q67388747,Point(-58.525555734 -34.665474)
Q140415896,Q159334,Point(-58.531154383 -34.662158881)
Q140415896,Q1080794,Point(-58.531154383 -34.662158881)
Q140415896,Q67388747,Point(-58.531154383 -34.662158881)
Q140415898,Q159334,Point(-58.532895193 -34.651977755)
Q140415898,Q1080794,Point(-58.532895193 -34.651977755)
Q140415898,Q67388747,Point(-58.532895193 -34.651977755)
Q140416053,Q159334,Point(-58.526446964 -34.69809673)
Q140416053,Q1080794,Point(-58.526446964 -34.69809673)
Q140416053,Q67388747,Point(-58.526446964 -34.69809673)
Q140416055,Q159334,Point(-58.524188251 -34.702618036)
Q140416055,Q423208,Point(-58.524188251 -34.702618036)
Q140416055,Q67388747,Point(-58.524188251 -34.702618036)
Q140416056,Q159334,Point(-58.538566797 -34.695446721)
Q140416056,Q423208,Point(-58.538566797 -34.695446721)
Q140416056,Q67388747,Point(-58.538566797 -34.695446721)
Q140416057,Q159334,Point(-58.536246858 -34.678605983)
Q140416057,Q1080794,Point(-58.536246858 -34.678605983)
Q140416057,Q67388747,Point(-58.536246858 -34.678605983)
Q140416061,Q159334,Point(-58.526656279 -34.691294263)
Q140416061,Q423208,Point(-58.526656279 -34.691294263)
Q140416061,Q67388747,Point(-58.526656279 -34.691294263)
Q140416063,Q159334,Point(-58.526930369 -34.678017636)
Q140416063,Q1080794,Point(-58.526930369 -34.678017636)
Q140416063,Q67388747,Point(-58.526930369 -34.678017636)
Q140416065,Q159334,Point(-58.523488085 -34.685172258)
Q140416065,Q1080794,Point(-58.523488085 -34.685172258)
Q140416065,Q67388747,Point(-58.523488085 -34.685172258)
Q140416067,Q159334,Point(-58.53574581 -34.689486763)
Q140416067,Q1080794,Point(-58.53574581 -34.689486763)
Q140416067,Q67388747,Point(-58.53574581 -34.689486763)
Q140416269,Q159334,Point(-58.531925375 -34.656017422)
Q641438,Q851517,Point(-58.5266 -34.6191)
Q781245,Q515,Point(-58.537641779 -34.577175082)
Q862879,Q3957,Point(-58.53333333 -34.56666667)
Q1116458,Q1154710,Point(-58.535 -34.614167)
Q1369128,Q1154710,Point(-58.52816667 -34.56738889)
Q2284841,Q3257686,Point(-58.531944444 -34.606944444)
Q5136134,Q847017,Point(-58.53391731 -34.608298001)
Q5136134,Q43009164,Point(-58.53391731 -34.608298001)
Q5691417,Q486972,Point(-58.525 -34.5894)
Q5733950,Q875538,Point(-58.52327 -34.58049)
Q5733950,Q45400320,Point(-58.52327 -34.58049)
Q5841779,Q55488,Point(-58.5245 -34.5972)
Q5842255,Q55488,Point(-58.5353 -34.5956)
Q5844799,Q55488,Point(-58.5317 -34.5737)
Q5845023,Q55488,Point(-58.5279 -34.6032)
Q6162062,Q486972,Point(-58.5392 -34.5911)
Q6162245,Q486972,Point(-58.5242 -34.595)
Q6162332,Q486972,Point(-58.5314 -34.5928)
Q6162334,Q486972,Point(-58.5336 -34.5639)
Q6292533,Q486972,Point(-58.535717308 -34.617191446)
Q6979278,Q875538,Point(-58.52777778 -34.60166667)
Q6979278,Q45400320,Point(-58.52777778 -34.60166667)
Q7665215,Q486972,Point(-58.5315967 -34.5995495)
Q16564679,Q483110,Point(-58.525635888 -34.595732795)
Q17197969,Q4663385,Point(-58.52611111 -34.62138889)
Q17197969,Q19860854,Point(-58.52611111 -34.62138889)
Q17621362,Q4663385,Point(-58.51916667 -34.62638889)
Q17621365,Q55488,Point(-58.53555556 -34.61555556)
Q17621367,Q55488,Point(-58.53527778 -34.60611111)
Q56316634,Q2087181,Point(-58.537824663 -34.602527647)
Q64338630,Q5728070,Point(-58.5299 -34.600717)
Q64338861,Q5728070,Point(-58.539117 -34.575767)
Q64338903,Q5728070,Point(-58.538879 -34.617676)
Q64339159,Q5728070,Point(-58.53727 -34.575951)
Q64339192,Q5728070,Point(-58.529064 -34.604607)
Q64461426,Q33506,Point(-58.526003882 -34.620656089)
