avenida,largo_m,locales,por_100m,desde,hasta,barrio,x0,y0,x1,y1,avenida_l,desde_l,hasta_l,en_atlas
"VEGA, NICETO, CNEL. AV.",850,60,7.06,"JUSTO, JUAN B. AV.",DORREGO AV.,PALERMO,5643381.14367737,6171949.022995339,5642738.895502471,6172505.614428505,Av. Cnel. Niceto Vega,Av. Juan B. Justo,Av. Dorrego,True
"JUSTO, JUAN B. AV.",1700,57,3.35,WARNES AV.,TERRERO,VILLA CRESPO,5642066.31037873,6170700.481441565,5640766.080925894,6169611.526625149,Av. Juan B. Justo,Av. Warnes,Terrero,False
BELGRANO AV.,1500,56,3.73,SAAVEDRA,CASTRO BARROS AV.,BALVANERA,5646425.758462413,6168973.57540383,5644931.514735936,6168856.385668926,Av. Belgrano,Saavedra,Av. Castro Barros,False
DIRECTORIO AV.,1300,54,4.15,LA PLATA AV.,CACHIMAYO,CABALLITO,5644224.315835657,6167619.763332514,5642940.6585032195,6167414.28596815,Av. Directorio,Av. La Plata,Cachimayo,False
CERVIÑO AV.,950,53,5.58,"DIAZ, CNEL. AV.",REPUBLICA DE LA INDIA,PALERMO,5646333.321145673,6172636.864768246,5645468.895029613,6173023.288809479,Av. Cerviño,Av. Cnel. Díaz,República de la India,False
CRAMER AV.,1950,53,2.72,ELCANO,"PEDRAZA, MANUELA",BELGRANO,5641494.393859272,6174172.998952799,5640374.662996185,6175768.777183299,Av. Cramer,Elcano,Manuela Pedraza,False
SAN MARTIN AV.,450,52,11.56,"BEIRO, FRANCISCO AV.",ASUNCION,AGRONOMIA,5637901.341013115,6171074.707903535,5637489.444064887,6171250.383269601,Av. San Martín,Av. Francisco Beiró,Asunción,False
"CARRIL, SALVADOR MARIA DEL AV.",1650,51,3.09,DE LOS CONSTITUYENTES AV.,SAN MARTIN AV.,PARQUE CHAS,5638654.391673819,6172394.309455557,5637321.569934275,6171421.671298878,Av. Salvador María del Carril,Av. De los Constituyentes,Av. San Martín,False
"PERON, EVA AV.",1800,50,2.78,PUAN,CASTAÑON,PARQUE CHACABUCO,5642652.8585567735,6167032.3703982765,5641221.922346271,6165957.668068004,Av. Eva Perón,Puan,Castañon,False
SAN ISIDRO LABRADOR AV.,850,49,5.76,CABILDO AV.,CABILDO AV.,SAAVEDRA,5640406.097314666,6176617.018694293,5639992.932971335,6177328.503654249,Av. San Isidro Labrador,Av. Cabildo,Av. Cabildo,False
ALVAREZ JONTE AV.,1450,49,3.38,"ARTIGAS, JOSE GERVASIO, GRAL.",CONCORDIA,VILLA DEL PARQUE,5639609.514433676,6169866.354656269,5638306.182239462,6169302.852085713,Av. Álvarez Jonte,Gral. José Gervasio Artigas,Concordia,False
RIVADAVIA AV.,750,47,6.27,SEGUROLA AV.,MORETO,VELEZ SARSFIELD,5639109.415525895,6166921.207869531,5638388.324553512,6166718.215493962,Av. Rivadavia,Av. Segurola,Moreto,False
RIVADAVIA AV.,750,47,6.27,SEGUROLA AV.,OLIVIERI,VELEZ SARSFIELD,5639109.415525895,6166921.207869531,5638385.193790157,6166727.014994684,Av. Rivadavia,Av. Segurola,Olivieri,False
"PERON, EVA AV.",1550,47,3.03,ZINNY,MIRALLA,PARQUE AVELLANEDA,5640056.053662477,6164922.0818836065,5638919.126447829,6163876.560537465,Av. Eva Perón,Zinny,Miralla,False
"ALEM, LEANDRO N. AV.",700,46,6.57,"PERON, JUAN DOMINGO, TTE. GENERAL",CORDOBA AV.,SAN NICOLAS,5649491.059163224,6169978.953784966,5649427.823194085,6170674.248036975,Av. Leandro N. Alem,Tte. General Juan Domingo Perón,Av. Córdoba,False
SAN ISIDRO LABRADOR AV.,1050,46,4.38,CABILDO AV.,CABILDO AV.,SAAVEDRA,5640496.670191715,6176517.675643119,5639946.620839182,6177373.406443145,Av. San Isidro Labrador,Av. Cabildo,Av. Cabildo,False
GAONA AV.,1050,46,4.38,SAN MARTIN AV.,"OROÑO, NICASIO",VILLA CRESPO,5642519.265077447,6169805.782865002,5641613.572510786,6169276.968962369,Av. Gaona,Av. San Martín,Nicasio Oroño,False
"PUEYRREDON, HONORIO, DR. AV.",1600,46,2.88,MENDEZ DE ANDES,"JUSTO, JUAN B. AV.",CABALLITO,5642922.4961686665,6169241.719764972,5642044.603713187,6170576.044351303,Av. Dr. Honorio Pueyrredón,Méndez de Andes,Av. Juan B. Justo,False
INDEPENDENCIA AV.,1200,45,3.75,MAZA,LA PLATA AV.,ALMAGRO,5645390.599247178,6168295.073005751,5644197.226565982,6168177.052402095,Av. Independencia,Maza,Av. La Plata,True
"ALBERDI, JUAN BAUTISTA AV.",1400,45,3.21,CARABOBO AV.,SAN PEDRITO AV.,FLORES,5641698.003109333,6167433.897579239,5640377.8437761525,6166968.179851949,Av. Juan Bautista Alberdi,Av. Carabobo,Av. San Pedrito,False
"YRIGOYEN, HIPOLITO AV.",1450,44,3.03,SANCHEZ DE LORIA,RIVADAVIA AV.,ALMAGRO,5645512.001941024,6169201.228396952,5644100.364201031,6168950.223827849,Av. Hipólito Yrigoyen,Sánchez de Loria,Av. Rivadavia,False
HONDURAS AV.,750,41,5.47,"DIAZ, CNEL. AV.",GASCON,PALERMO,5645464.862637909,6171264.926171728,5644714.869780611,6171261.68679599,Av. Honduras,Av. Cnel. Díaz,Gascon,False
GARCIA DEL RIO AV.,800,40,5.0,CABILDO AV.,PINTO,SAAVEDRA,5640576.669960344,6176391.166426669,5639796.296317345,6176215.354088734,Av. García del Río,Av. Cabildo,Pinto,False
"BALBIN, RICARDO, DR. AV.",1100,40,3.64,CRAMER AV.,SUPERI,BELGRANO,5640992.479990099,6174739.354573702,5640019.175512721,6175251.751883816,Av. Dr. Ricardo Balbín,Av. Cramer,Superi,False
SAENZ AV.,1000,40,4.0,CASEROS AV.,ALMAFUERTE AV.,NUEVA POMPEYA,5645227.931936972,6166236.680558417,5645196.989058979,6165237.49345973,Av. Sáenz,Av. Caseros,Av. Almafuerte,False
DIRECTORIO AV.,1200,39,3.25,PUMACAHUA,CULPINA,FLORES,5641860.96490518,6167213.559206181,5640730.764227053,6166810.468281957,Av. Directorio,Pumacahua,Culpina,False
9 DE JULIO AV.,1100,38,3.45,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",BELGRANO AV.,SAN NICOLAS,5648413.876940297,6170205.752772512,5648464.1260983655,6169111.890548012,Av. 9 de Julio,Av. Pres. Roque Sáenz Peña Diagonal Norte,Av. Belgrano,False
