polo_id,locales,ha,locales_x_ha,barrio_principal,barrios,n_barrios,corroborados,grupo_dominante,peso_grupo_dominante,abiertos,hull_degenerado,puntos_en_envolvente,aptos_en_envolvente,share_aptos,control_aptitud,comuna,clase_densidad,pct_ya_publicado,zonas_que_contiene,es_nuevo,anada_relevamiento,anada_pct_dominante,anada_mixta,anadas,pct_puntos_del_relevamiento,rectangularidad,pct_perimetro_en_ejes,pct_perimetro_sobre_borde_barrio,vertices,barrio_k,cobertura_barrio,composicion_barrio,pasa_fuente,pasa_grilla,pasa_cobertura,pasa_cobertura_dos_colas,pruebas_que_pasa,locales_sin_rus,densidad_sin_rus,clase_sin_rus,dist_al_corte,cambio_de_clase
P016,105,26.722,3.929,Villa Devoto,Villa Devoto,1,26,OVERTURE_FSQ_ATP,0.429,56,False,106,104,0.981,True,11.0,C · concentración extendida,97.4,,False,2022,100.0,False,2022:105,42.9,0.579,23.1,0.0,19,VILLA DEVOTO,2.45,184.0,True,True,True,True,3,60,2.245,C · concentración extendida,0.123,False
P057,105,26.2,4.008,Caballito,Caballito;Almagro,2,23,OVERTURE_FSQ_ATP,0.362,57,False,114,113,0.991,True,6.0,C · concentración extendida,0.0,,True,2023,100.0,False,2023:105,34.3,0.691,32.4,8.9,17,CABALLITO,2.39,227.6,True,True,True,True,3,69,2.634,C · concentración extendida,0.108,False
P032,105,20.887,5.027,La Boca,La Boca,1,23,GCBA_URBANISMO,0.429,54,False,103,101,0.981,True,4.0,B · concentración media,0.0,,True,2024,100.0,False,2024:105,42.9,0.623,0.0,0.0,15,LA BOCA,2.45,229.5,True,True,True,True,3,60,2.873,C · concentración extendida,0.083,True
P024,103,50.423,2.043,Nueva Pompeya,Nueva Pompeya,1,13,OVERTURE_FSQ_ATP,0.379,53,False,104,104,1.0,True,4.0,C · concentración extendida,0.0,,True,2024,100.0,False,2024:103,35.9,0.482,23.1,0.0,15,NUEVA POMPEYA,2.47,129.0,True,True,True,True,3,66,1.309,C · concentración extendida,0.476,False
P065-2,102,9.735,10.478,Palermo,Palermo,1,18,GCBA_URBANISMO,0.451,50,False,100,97,0.97,True,14.0,A · concentración densa,67.8,,False,2024,100.0,False,2024:102,45.1,0.456,13.1,0.0,14,PALERMO,2.53,307.1,True,True,True,True,3,56,5.753,B · concentración media,0.374,True
P005,100,100.94,0.991,Villa Lugano,Villa Lugano,1,6,GCBA_URBANISMO,0.51,37,False,103,102,0.99,True,8.0,C · concentración extendida,0.0,,True,2024,100.0,False,2024:100,51.0,0.459,18.5,0.0,18,VILLA LUGANO,2.59,112.0,True,True,True,True,3,49,0.485,C · concentración extendida,0.672,False
P038,96,22.004,4.363,Villa Devoto,Villa Devoto;Agronomia;Villa Del Parque,4,20,GCBA_URBANISMO,0.469,44,False,89,88,0.989,True,11.0,C · concentración extendida,4.2,,True,2022,84.4,True,2022:81;2023:15,46.9,0.309,0.0,16.6,14,VILLA DEVOTO,2.45,184.0,True,True,True,True,3,51,2.318,C · concentración extendida,0.042,False
P020,94,25.095,3.746,Villa Luro,Villa Luro;Liniers,2,15,OVERTURE_FSQ_ATP,0.383,48,False,102,101,0.99,True,10.0,C · concentración extendida,0.0,,True,2022,98.9,True,2022:93;2023:1,37.2,0.382,8.9,3.8,12,VILLA LURO,2.32,157.6,True,True,True,True,3,59,2.351,C · concentración extendida,0.157,False
P022,93,53.59,1.735,Saavedra,Saavedra;Coghlan,2,12,GCBA_URBANISMO,0.387,43,False,87,86,0.989,True,12.0,C · concentración extendida,0.0,,True,2023,100.0,False,2023:93,38.7,0.492,24.6,3.5,22,SAAVEDRA,2.78,170.6,True,True,True,True,3,57,1.064,C · concentración extendida,0.533,False
P003,91,39.823,2.285,Villa Riachuelo,Villa Riachuelo;Villa Lugano,2,10,GCBA_URBANISMO,0.462,39,False,94,94,1.0,True,8.0,C · concentración extendida,0.0,,True,2024,100.0,False,2024:91,46.2,0.433,27.9,4.2,11,VILLA RIACHUELO,2.02,90.7,True,True,False,False,2,49,1.23,C · concentración extendida,0.43,False
P012,90,32.805,2.743,Mataderos,Mataderos,1,13,GCBA_URBANISMO,0.433,42,False,90,88,0.978,True,9.0,C · concentración extendida,0.0,,True,2023,100.0,False,2023:90,43.3,0.297,5.0,0.0,17,MATADEROS,2.45,108.9,True,True,True,True,3,51,1.555,C · concentración extendida,0.344,False
P107,86,10.793,7.968,Balvanera,Balvanera;Recoleta,2,20,GCBA_URBANISMO,0.384,48,False,79,78,0.987,True,3.0,B · concentración media,0.0,,True,2024,100.0,False,2024:86,38.4,0.504,1.1,19.3,22,BALVANERA,2.59,147.9,True,True,True,True,3,53,4.911,B · concentración media,0.095,False
P101,81,14.035,5.771,Balvanera,Balvanera,1,21,GCBA_URBANISMO,0.407,40,False,83,83,1.0,True,3.0,B · concentración media,0.0,,True,2024,100.0,False,2024:81,40.7,0.435,8.0,0.0,16,BALVANERA,2.59,147.9,True,True,True,True,3,48,3.42,C · concentración extendida,0.222,True
P092,79,11.706,6.749,Palermo,Palermo,1,19,GCBA_URBANISMO,0.43,40,False,80,80,1.0,True,14.0,B · concentración media,0.0,,True,2024,100.0,False,2024:79,43.0,0.519,16.8,0.0,15,PALERMO,2.53,307.1,True,True,True,True,3,45,3.844,B · concentración media,0.323,False
P088,76,7.793,9.752,Palermo,Palermo,1,21,GCBA_URBANISMO,0.513,35,False,60,59,0.983,True,14.0,A · concentración densa,0.0,,True,2024,100.0,False,2024:76,51.3,0.573,6.4,0.0,19,PALERMO,2.53,307.1,True,True,True,True,3,37,4.748,B · concentración media,0.238,True
P081,74,11.229,6.59,Villa Crespo,Villa Crespo,1,16,GCBA_URBANISMO,0.459,33,False,72,71,0.986,True,15.0,B · concentración media,100.0,,False,2023,100.0,False,2023:74,45.9,0.562,8.8,0.0,17,VILLA CRESPO,2.39,158.7,True,True,True,True,3,40,3.562,C · concentración extendida,0.353,True
P018-2,73,11.038,6.613,Villa Real,Villa Real;Villa Devoto,2,10,GCBA_URBANISMO,0.37,36,False,69,68,0.986,True,10.0,B · concentración media,53.5,,False,2022,100.0,False,2022:73,37.0,0.33,14.1,6.5,15,VILLA REAL,2.48,152.1,True,True,True,True,3,46,4.167,B · concentración media,0.349,False
P065-1,71,7.842,9.054,Palermo,Palermo,1,18,GCBA_URBANISMO,0.437,35,False,71,71,1.0,True,14.0,A · concentración densa,99.6,,False,2024,100.0,False,2024:71,43.7,0.377,0.0,0.0,13,PALERMO,2.53,307.1,True,True,True,True,3,40,5.101,B · concentración media,0.108,True
P072-7,68,3.142,21.644,Belgrano,Belgrano,1,12,OSM,0.515,39,False,57,55,0.965,True,13.0,A · concentración densa,100.0,,False,2023,100.0,False,2023:68,41.2,0.461,14.5,0.0,16,BELGRANO,2.9,275.4,True,True,True,False,3,40,12.732,A · concentración densa,2.463,False
