barrio,cantidad_registros,cantidad_hojas,nivel_sensibilidad,uso_recomendado
villa general mitre,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Resistencia Chaco Argentina,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Gran buenos aires,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa pueyrredón,1,1,bajo (agregado sin PII),cobertura_territorial_interna
velez sarfield,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Parque avellaneda,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Vte López,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Mercado,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Suipacha,1,1,bajo (agregado sin PII),cobertura_territorial_interna
villa urquiza,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Sta Trinidad , coronel Suárez",1,1,bajo (agregado sin PII),cobertura_territorial_interna
Mujica,1,1,bajo (agregado sin PII),cobertura_territorial_interna
