polo_a,nombre_a,polo_b,nombre_b,local_id,barrio,comuna
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008951,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024369,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016040,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024188,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024322,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008756,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016031,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008967,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024321,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC006676,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016033,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024409,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016039,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024418,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024399,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008292,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC000152,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024342,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC009978,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC006541,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016030,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC003742,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016036,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC003412,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024338,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024308,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016047,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024417,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024340,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024377,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC009021,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024392,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016045,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC009107,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024304,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC004293,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC000682,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC000832,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC007102,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC005118,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024400,San Nicolas,1.0
