nro_registro,rubro,establecimiento,domicilio_completo,barrio,comuna,accesibilidad
RL-2017-26106708- -DGCCO,Restaurante,GRAN PIZZERÍA JOSÉ,AV. SAN MARTÍN 6915,VILLA DEVOTO,11,
RL-2018-30315696- -DGCCO,Restaurante,GOURMAND FOOD HALL,AV. DEL LIBERTADOR 740,RETIRO,1,
06/G/2015,Restaurante,HAPPENING,ALICIA M. DE JUSTO 310,PUERTO MADERO,1,
RPT-048-2007,Bar Temático,HARD ROCK CAFÉ BUENOS AIRES,AZCUÉNAGA 2085,RECOLETA,2,
RL-2017-24098516- -DGCCO,Gastronomía,HELADERÍA ITALIA,AV. TRIUNVIRATO 4546,VILLA URQUIZA,12,
09/G/2015,Restaurante Temático,HOLA JACOBA,THAMES 1801,PALERMO,14,
RL-2019-20194795- -DGTALET,Restaurante,I LATINA,MURILLO 725,VILLA CRESPO,15,
RPT-084-2005,Bar Temático,LA BIBLIOTECA CAFÉ,MARCELO T. DE ALVEAR 1155,RETIRO,1,
RPT-069-2005,Bar Notable,LA BIELA,AV. PTE. MANUEL QUINTANA 594,RECOLETA,1,
RL-2019-05375341--DGDTU,Restaurante,LA BUENA PIZZA,AGÜERO 2241 PB,RECOLETA,2,
07-G-2015,Restaurante,LA CABAÑA,ALICIA M. DE JUSTO 380,PUERTO MADERO,1,
12-G-2015,Restaurante,LA CABRERA SUR,J. A. CABRERA 5099,PALERMO,14,
RL-2017-22419784- -DGCCO,Gastronomía,LA GUITARRITA,CUBA 3300,NUÑEZ,13,
RL-2017-25892974- -DGCCO,Peña,LA PAILA,COSTA RICA 4848,PALERMO,14,
10-G-2015,Restaurante,LA POSADA DE 1820,TUCUMÁN 501,SAN NICOLÁS,1,
02-G-2011,Bar Notable,LA PUERTO RICO,ADOLFO ALSINA 416,MONSERRAT,1,
RPT-100-2005,Restaurante,LA TEKLA,TALCAHUANO 897,RETIRO,1,
RPT-046-2005,Tanguería,LA VENTANA,BALCARCE 425,MONSERRAT,1,
RPT-277-2006,Restaurante,LAS NAZARENAS,RECONQUISTA 1132,RETIRO,1,
RL-2017-24893136- -DGCCO,Bar Notable,LAS VIOLETAS,AV. RIVADAVIA 3899,ALMAGRO,5,
RL-2018-06957986- -DGCCO,Restaurante,LO DE JESÚS,GURRUCHAGA 1406,PALERMO,14,
RPT-10-G-2014,Tanguería,MADERO TANGO,ELVIRA RAWSON DE DELLEPIANE 150,PUERTO MADERO,1,
03-G-2011,Restaurante,MAGNO BAR & LOUNGE,JOSÉ M. MORENO 318,CABALLITO,6,
RL-2017-27175205- -DGCCO,Restaurante,MANOLO RESTAURANT,COCHABAMBA 501,SAN TELMO,1,
RL-2018-25703246- -DGCCO,Bar Temático,MARICAFÉ,HONDURAS 4096,PALERMO,14,
RL-2018-28681001--DGCCO,Restaurante,MARY CARMEN PARRILLA GOURMET,BAZURCO 3401,VILLA DEVOTO,11,
RPT-60-2005,Restaurante,MESÓN NAVARRO,LAVALLE 170,SAN NICOLÁS,1,
RL-2018-03608580- -DGCCO,Restaurante,MILIÓN,PARANÁ 1048,SAN NICOLÁS,1,
RL-2019-33060098- -DGTALET,Bar Notable,MIRAMAR,SAN JUAN 1999,SAN CRISTOBAL,3,
RL-2017-20824848- -DGCCO,Gastronomia,OCHO ESQUINAS,AV. FOREST 1186,CHACARITA,15,
