polo_id,calles_dominantes_antes,calles_dominantes_despues,cambio,diff,metodo
P028,Mosconi (18); E Mosconi (6); Nazca (5); Gabriela Mistral (2); Jose Gervasio Artigas (2); Jose G Artigas (1),Mosconi (24); Nazca (5); Gabriela Mistral (2); Jose Gervasio Artigas (2); Jose G Artigas (1),SI,ANTES: Mosconi (18); E Mosconi (6); Nazca (5); Gabriela Mistral (2); Jose Gervasio Artigas (2); Jose G Artigas (1) | DESPUES: Mosconi (24); Nazca (5); Gabriela Mistral (2); Jose Gervasio Artigas (2); Jose G Artigas (1),normalizar_calles + callejero_canonico + aliases declarados en el pedido
P041,Rivadavia (14); Venancio Flores (4); Bacacay (2); Cuenca (2); Portela (1); Pergamino (1),Rivadavia (14); Venancio Flores (4); Bacacay (2); Cuenca (2); Portela (1); Pergamino (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P077,Serrano (6); Aguirre (4); Loyola (4); Thames (4); Ramirez De Velazco (4); Gurruchaga (2),Serrano (6); Aguirre (4); Loyola (4); Thames (4); Ramirez De Velazco (4); Gurruchaga (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P074,Corrientes (17); Serrano (3); Camargo (3); Acevedo (2); Juan B Justo (2); Gurruchaga (1),Corrientes (17); Serrano (3); Camargo (3); Acevedo (2); Juan B Justo (2); Gurruchaga (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P087,Godoy Cruz (8); Santa Fe (3); Beruti (2); Fray Justo Santamaria De Oro (2); Fray Justo Santa Maria De Oro (2); Juan Bautista Justo (2),Godoy Cruz (8); Santa Fe (3); Beruti (2); Fray Justo Santamaria De Oro (2); Fray Justo Santa Maria De Oro (2); Juan Bautista Justo (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P061,Jose Gervasio Artigas (5); Yerbal (4); Varela (3); Ramon L Falcon (3); Rivadavia (3); Jose G Artigas (3),Jose Gervasio Artigas (5); Yerbal (4); Varela (3); Ramon L Falcon (3); Rivadavia (3); Jose G Artigas (3),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P040,Nazca (19); Alvarez Jonte (3); Adolfo P Carranza (2); Abasto De Bs As (1); Elpidio Gonzalez (1); San Blas (1),Nazca (19); Alvarez Jonte (3); Adolfo P Carranza (2); Abasto De Bs As (1); Elpidio Gonzalez (1); San Blas (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P086,Cordoba (15); Gascon (4); Medrano (3); Francisco Acuna De Figueroa (3); Estado De Palestina (3); Lavalle (1),Cordoba (15); Gascon (4); Medrano (3); Francisco Acuna De Figueroa (3); Estado De Palestina (3); Lavalle (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P097,Pena (6); Larrea (4); Junin (4); French (3); Azcuenaga (3); Uriburu Jose E (2),Pena (6); Larrea (4); Junin (4); French (3); Azcuenaga (3); Uriburu Jose E (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P047,Neuquen (5); Avellaneda (5); Juan F Aranguren (2); Mendez De Andes (2); Doctor Juan F Aranguren (2); Martin De Gainza (1),Neuquen (5); Avellaneda (5); Juan F Aranguren (4); Mendez De Andes (2); Nicolas Repetto (2); Martin De Gainza (1),SI,ANTES: Neuquen (5); Avellaneda (5); Juan F Aranguren (2); Mendez De Andes (2); Doctor Juan F Aranguren (2); Martin De Gainza (1) | DESPUES: Neuquen (5); Avellaneda (5); Juan F Aranguren (4); Mendez De Andes (2); Nicolas Repetto (2); Martin De Gainza (1),normalizar_calles + callejero_canonico + aliases declarados en el pedido
P085,Entre Rios (14); Independencia (12); Solis (3); Combate De Los Pozos (3); Chile (2),Entre Rios (14); Independencia (12); Solis (3); Combate De Los Pozos (3); Chile (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P033,Brown (10); Necochea (3); Wenceslao Villafane (3); Suarez (1); Olavarria (1); Martin Rodriguez (1),Brown (10); Necochea (3); Wenceslao Villafane (3); Suarez (1); Olavarria (1); Martin Rodriguez (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P095,Vicente Lopez (7); Las Heras (4); Jose Andres Pacheco De Melo (3); Callao (3); Ayacucho (2); Rodriguez Pena (2),Vicente Lopez (7); Las Heras (4); Jose Andres Pacheco De Melo (3); Callao (3); Ayacucho (2); Rodriguez Pena (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
