polo_id,nombre_polo,soporte_clase,soporte_detalle,n_puntos,elongacion,ancho_p80_m,largo_p5_p95_m,motivo_na,frac_banda_50m,frac_banda_75m,frac_banda_100m,frac_banda_150m,frac_banda_200m,elongacion_rect,ha,forma_declarada,rama_calibracion,calibracion_contaminada
PGR_P002,P002 · Villa Soldati,polo del borrador,polo P002 de borrador_polos_v3,59,1.3937134906970583,272.8768634680595,1040.2681523807933,,0.0,0.06779661016949153,0.23728813559322035,0.4067796610169492,0.5423728813559322,1.331758748861796,63.36,nucleo compacto,B,si
PGR_P026,P026 · Parque Patricios,polo del borrador,polo P026 de borrador_polos_v3,62,2.0835153441355656,165.60160367732922,796.6175675100822,,0.45161290322580644,0.532258064516129,0.5483870967741935,0.6774193548387096,0.9032258064516129,1.4170647038768638,27.04,corredor,B,si
PGR_P066,P066 · Barracas,polo del borrador,polo P066 de borrador_polos_v3,62,2.445053787404637,121.62156616472542,703.7183961024759,,0.4032258064516129,0.5645161290322581,0.6774193548387096,0.8548387096774194,0.9354838709677419,1.935071199905477,18.02,corredor,B,si
PGR_P014,P014 · Flores,polo del borrador,polo P014 de borrador_polos_v3,61,4.13589890788929,120.91665870767879,1310.9197370350707,,0.3114754098360656,0.5081967213114754,0.7213114754098361,0.8688524590163934,0.8852459016393442,2.681206323350231,45.63,corredor,B,si
PGR_P044,P044 · San Cristobal,polo del borrador,polo P044 de borrador_polos_v3,53,5.647827983733366,51.26250600602912,791.8334693579698,,0.7547169811320755,0.8490566037735849,0.9433962264150944,0.9811320754716981,1.0,2.9258034672696094,17.01,corredor,B,si
PGR_P042,P042 · Velez Sarsfield,polo del borrador,polo P042 de borrador_polos_v3,53,9.511137129443048,38.002464116666175,875.3113662967679,,0.9245283018867925,0.9811320754716981,1.0,1.0,1.0,5.7690780512298705,11.15,corredor,B,si
PGR_P041,P041 · Floresta,polo del borrador,polo P041 de borrador_polos_v3,52,2.229886276397257,126.32529782673885,542.4328773540785,,0.4230769230769231,0.5961538461538461,0.6538461538461539,0.9230769230769231,1.0,1.9268887945448425,12.73,corredor,B,si
PGR_P087,P087 · Palermo,polo del borrador,polo P087 de borrador_polos_v3,47,1.4459142277746042,84.71288310885477,357.64407751804316,,0.425531914893617,0.7446808510638298,0.851063829787234,0.8723404255319149,1.0,1.028899614652349,5.8,nucleo compacto,B,si
PGR_P061,P061 · Flores,polo del borrador,polo P061 de borrador_polos_v3,44,3.4183455359252055,51.64270413546184,447.13566737303245,,0.75,0.9318181818181818,0.9772727272727273,1.0,1.0,2.6298073026082323,6.93,corredor,B,si
PGR_P040,P040 · Villa Santa Rita,polo del borrador,polo P040 de borrador_polos_v3,45,5.048385953907681,41.70169529973298,583.1198489392058,,0.8666666666666667,0.8888888888888888,0.9777777777777777,1.0,1.0,4.015153866167673,10.46,corredor,B,si
PGR_P086,P086 · Palermo,polo del borrador,polo P086 de borrador_polos_v3,53,2.5640605290202703,78.02941858941128,458.13456271207826,,0.6415094339622641,0.7735849056603774,0.8867924528301887,1.0,1.0,2.198222336730995,7.95,corredor,B,si
PGR_P085,P085 · Balvanera,polo del borrador,polo P085 de borrador_polos_v3,48,1.1805687758675802,122.36395354973402,304.4338900395011,,0.4583333333333333,0.6666666666666666,0.75,0.9166666666666666,1.0,1.1663244794122327,8.77,nucleo compacto,B,si
PGR_P033,P033 · La Boca,polo del borrador,polo P033 de borrador_polos_v3,44,3.7084764903270546,93.43064682604694,732.6060243422879,,0.6363636363636364,0.7272727272727273,0.8409090909090909,0.9772727272727273,1.0,3.0528734077794475,16.68,corredor,B,si
PGR_P094,P094 · Monserrat,polo del borrador,polo P094 de borrador_polos_v3,44,3.7325051515591334,56.0340674677161,438.97612295806323,,0.7727272727272727,0.9772727272727273,1.0,1.0,1.0,2.218615216267333,6.37,corredor,B,si
PGR_P070,P070 · Saavedra,polo del borrador,polo P070 de borrador_polos_v3,44,1.9130651444200863,62.59465676505667,305.6463770685916,,0.5909090909090909,0.8409090909090909,0.9545454545454546,1.0,1.0,1.9846082887803222,5.66,nucleo compacto,B,si
PGR_P015,P015 · Parque Chacabuco,polo del borrador,polo P015 de borrador_polos_v3,40,2.026761127270977,73.67683798132713,419.03000174789673,,0.7,0.8,0.875,0.9,1.0,1.041110401411429,12.12,corredor,B,si
PGR_P009,P009 · Parque Avellaneda,polo del borrador,polo P009 de borrador_polos_v3,43,2.693508613472375,177.95223158573722,976.3333082957541,,0.27906976744186046,0.4418604651162791,0.5813953488372093,0.6976744186046512,0.9069767441860465,2.5680783312870172,24.65,corredor,B,si
PGR_P067,P067 · Nuñez,polo del borrador,polo P067 de borrador_polos_v3,41,2.445459698725204,83.47058064376057,357.9796036359311,,0.7560975609756098,0.7560975609756098,0.8536585365853658,1.0,1.0,2.782707313339806,7.32,corredor,B,si
PGR_P008,P008 · Barracas,polo del borrador,polo P008 de borrador_polos_v3,38,2.638760013424032,127.36584938065143,714.7615716607203,,0.3684210526315789,0.631578947368421,0.7631578947368421,0.868421052631579,0.9473684210526315,1.8449744090297902,23.52,corredor,B,si
PGR_P006,P006 · Mataderos,polo del borrador,polo P006 de borrador_polos_v3,41,3.4014185262413728,57.33405912043221,907.8876713320695,,0.7073170731707317,0.8536585365853658,0.8780487804878049,0.9024390243902439,0.926829268292683,1.6615321597153196,28.18,corredor,B,si
PGR_P059,P059 · Flores,polo del borrador,polo P059 de borrador_polos_v3,43,1.5097608429636231,88.96853411223603,324.31700379052563,,0.5116279069767442,0.7209302325581395,0.813953488372093,0.9767441860465116,1.0,1.6726568927182097,6.08,nucleo compacto,B,si
PGR_P083,P083 · Almagro,polo del borrador,polo P083 de borrador_polos_v3,40,2.0335661336220023,81.64060429227698,339.1291851861375,,0.65,0.725,0.95,1.0,1.0,1.9648496458352998,5.67,corredor,B,si
