fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F01,f01_oferta_establecimientos_gastronomicos.csv,2615,,PIZZA 3,RESTAURANTE / PIZZERIA,,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,CHACABUCO 1314,1,San Telmo,-34.62352603,-58.37549785,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,386,,PIZZA AL CORTE,RESTAURANTE,,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,HONDURAS 5504,14,Palermo,-34.58482237,-58.43554404,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,856,,PIZZA BOY,BAR / PIZZERIA,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"ALSINA, ADOLFO 2800",3,Balvanera,-34.61245077,-58.40545217,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1279,,PIZZA- CAFE,RESTAURANTE / PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"PAZ, GRAL. AV. 10868",9,Liniers,-34.64261611,-58.52884653,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,933,,PIZZA CAFE LA ESQUINA,RESTAURANTE / MINUTAS,COLONIAL,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,FINOCHIETTO ENRIQUE DR. 1701,4,Barracas,-34.63502613,-58.38809897,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2441,,"PIZZA, CAFE Y CULTURA",RESTAURANTE / REGIONAL,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"PERON, JUAN DOMINGO, TTE. GENERAL 1382",1,San Nicolas,-34.60644693,-58.3860335,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1494,,PIZZA CHOP,RESTAURANTE / PIZZERIA,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,COBO AV. 1030,4,Nueva Pompeya,-34.64142175,-58.43033649,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1187,,PIZZA CRACK,PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,VARELA AV. 1082,7,Flores,-34.64091381,-58.45695616,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1887,,PIZZA & ESPUMA,CAFE / MINUTAS,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,JUNCAL 2701,2,Recoleta,-34.58944851,-58.40438901,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2436,,PIZZA JET,RESTAURANTE / PIZZERIA,,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,FLORIDA 165,1,San Nicolas,-34.60612569,-58.37502524,f01_fuente,,
