fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones,fuentes_que_lo_detectan,cantidad_fuentes,es_duplicado_probable,grupo_duplicado,confianza_match,requiere_revision_manual,registros_agrupados,comuna_efectiva,barrio_efectivo,nivel_universo
F02,f02_habilitaciones_aprobadas_2015_2018.csv,162109,361817/2,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,"MITRE, EMILIO 900",,,-34.607179,-58.379169,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0849,unica,si,1,1,San Nicolas,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,325450,362140/1,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,MOLDES 1901,,,-34.565423,-58.45789,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0850,media,no,2,13,Belgrano,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,205370,362280/2,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,AYACUCHO 429,,,-34.603996,-58.395305,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0851,media,no,3,3,Balvanera,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,279775,362363,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"BEIRO, FRANCISCO AV. 4748",,,-34.609373,-58.517375,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0852,unica,no,1,11,Villa Devoto,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,152779,362389/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,INDEPENDENCIA AV. 4032,,,-34.62151,-58.422637,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0853,unica,no,1,5,Boedo,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,427746,362429,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,CHARCAS 4248,,,-34.58424,-58.422475,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0854,media,no,2,14,Palermo,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,190980,362444/2,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,"ANCHORENA, TOMAS MANUEL DE, DR. 695",,,-34.60095,-58.409173,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0855,unica,si,1,3,Balvanera,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,104222,362578,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,CASEROS AV. 3317,,,-34.638123,-58.411931,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0856,unica,no,1,5,Boedo,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,402214,362616/73,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"LACROZE, FEDERICO AV. 3642",,,-34.582294,-58.451982,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0857,unica,no,1,15,Chacarita,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,279120,362690,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,NOGOYA 4755,,,-34.614301,-58.511182,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0858,unica,no,1,11,Villa Devoto,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,451516,362824,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,TALCAHUANO 888,,,-34.598421,-58.385581,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0859,unica,si,1,1,Retiro,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,156845,362950/1,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,DIRECTORIO AV. 473,,,-34.627873,-58.433335,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0860,unica,si,1,6,Caballito,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,119688,363065,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,SANTIAGO DEL ESTERO 2113,,,-34.631882,-58.384083,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0861,unica,no,1,1,Constitucion,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,176521,363077,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,RIVADAVIA AV. 5387,,,-34.62032,-58.44121,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0862,media,no,2,6,Caballito,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,218824,363146/4,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,SALTA 389,,,-34.613044,-58.383276,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0863,media,no,2,1,Monserrat,A
