fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F02,f02_habilitaciones_aprobadas_2015_2018.csv,241566,226776,,Fabricación de hornos; hogares y quemadores,,fabricacion_de_hornos,no_gastronomico,0.2,Fuera del alcance decidido: fabricacion_de_hornos,GARMENDIA AV. 4725,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,143536,236102,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,"PERON, EVA AV. 2591",,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,440743,236103/1,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,"URIBURU JOSE E., Pres. 1092",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,220958,236105,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,MAIPU 608,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,143417,236149,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,VARELA AV. 720,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,334531,236192/1,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,ARIAS 2899,,,,,,2017,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,432550,236250/1,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,GASCON 1295,,,,,,2016,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,174750,236258/2,,"COM.MIN. ELAB. Y VTA.PIZZA, FUGA- ZZA, FAINA, EMPANADAS POSTRES, FLANES, CHURROS, GRILL",,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,CAMPICHUELO 212,,,,,,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,179285,236315/2,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,RIO DE JANEIRO 700,,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,432912,236353/1,,COM.MIN.DE HELADOS (SIN ELABORACION),,sin_elaboracion,despacho_sin_elaboracion,0.2,Fuera del alcance decidido: sin_elaboracion,"SCALABRINI ORTIZ, RAUL 2701",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
F02,f02_habilitaciones_aprobadas_2015_2018.csv,432912,236353/1,,"COM.MIN.DE MASAS,BOMBONES, SANDWICHES (SIN ELABORACION)",,masas_bombones_sin_elaboracion,despacho_masas_sin_elaboracion,0.2,Fuera del alcance decidido: masas_bombones_sin_elaboracion,"SCALABRINI ORTIZ, RAUL 2701",,,,,,2015,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal)
