polo_A,nombre_A,polo_B,nombre_B,soporte_es_real_A,soporte_es_real_B,estado_soporte_A,estado_soporte_B,fuente_geometria_A,fuente_geometria_B,superficie_A_m2,superficie_B_m2,interseccion_m2,superficie_perdida_A_m2,superficie_perdida_B_m2,pct_superficie_A_en_B,pct_superficie_B_en_A,locales_compartidos,locales_A,locales_B,pct_locales_A_compartidos,pct_locales_B_compartidos,relacion_observada,direccion_contencion_observada,clase,gate_recomendacion
R01,Palermo,Z44,Villa Ortuzar,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_PARCIAL,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z44,3855092.0341,1854585.591,0.0,3855092.0341,1854585.591,0.0,0.0,0,1916,201,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z46,Retiro,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_PARCIAL,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z46,3855092.0341,4666034.0744,0.0,3855092.0341,4666034.0744,0.0,0.0,0,1916,715,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z47,Monserrat y Congreso,True,True,REAL_SISTEMA_PUBLICADO,REAL_R15_CERRADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",ronda_15/geometria/perimetros_18.geojson#Z47,3855092.0341,137744.2373,0.0,3855092.0341,137744.2373,0.0,0.0,0,1916,133,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z50,Barracas · Av. Montes de Oca,True,True,REAL_SISTEMA_PUBLICADO,REAL_R15_CERRADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",ronda_15/geometria/perimetros_18.geojson#Z50,3855092.0341,506179.4217,0.0,3855092.0341,506179.4217,0.0,0.0,0,1916,84,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z51,"Barracas · Iriarte, California y Vieytes",True,True,REAL_SISTEMA_PUBLICADO,REAL_R15_CERRADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",ronda_15/geometria/perimetros_18.geojson#Z51,3855092.0341,58289.4095,0.0,3855092.0341,58289.4095,0.0,0.0,0,1916,12,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z52,La Boca · Almirante Brown y Necochea,True,True,REAL_SISTEMA_PUBLICADO,REAL_R15_CERRADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",ronda_15/geometria/perimetros_18.geojson#Z52,3855092.0341,61375.7276,0.0,3855092.0341,61375.7276,0.0,0.0,0,1916,3,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z53,La Boca · Caminito y Vuelta de Rocha,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_NO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#S_LABOCA,3855092.0341,5039963.2303,0.0,3855092.0341,5039963.2303,0.0,0.0,0,1916,295,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z54,Nueva Pompeya · eje Av. Saenz,True,True,REAL_SISTEMA_PUBLICADO,REAL_CONCENTRACION_MEDIDA,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",borrador_polos/polos_publicables.geojson#P024,3855092.0341,504234.5331,0.0,3855092.0341,504234.5331,0.0,0.0,0,1916,95,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R02,Avenida Corrientes,R03,San Telmo,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R02,geometria_r7/zonas_r7.geojson#R03,496728.0407,253683.1163,0.0,496728.0407,253683.1163,0.0,0.0,0,354,71,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R02,Avenida Corrientes,R04,Puerto Madero,True,True,REAL_PREVIO_NO_INCLUIDO_EN_R15,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R02,geometria_r7/zonas_r7.geojson#R04,496728.0407,3145411.6199,0.0,496728.0407,3145411.6199,0.0,0.0,0,354,354,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
