id_ubicacion,direccion,calle,altura,cuadra,barrio,habilitaciones,firma,pct_sin_fecha,partidas_matriz,direcciones_con_esa_partida,razones_sociales,anios_fuente
UCFB3A,LAVALLE 795,LAVALLE,795,700,San Nicolas,30,"30|Bar:6,Cafe:3,Catering:3,Comida al paso:3,Heladeria:3,Parrilla:3,Pasteleria:3,Pizzeria:3,Restaurante:3",100.0,1.0,2.0,1.0,2025
U78110,LAVALLE 799,LAVALLE,799,700,San Nicolas,30,"30|Bar:6,Cafe:3,Catering:3,Comida al paso:3,Heladeria:3,Parrilla:3,Pasteleria:3,Pizzeria:3,Restaurante:3",100.0,1.0,2.0,1.0,2025
UFA1ED,SAN MARTIN AV. 5962,SAN MARTIN AV.,5962,5900,Villa Devoto,21,21|Pizzeria:21,100.0,1.0,1.0,1.0,2025
U85A2B,GUEMES 3199,GUEMES,3199,3100,Recoleta,21,"21|Catering:7,Comida al paso:7,Restaurante:7",100.0,1.0,1.0,1.0,2025
U7FAD4,RIVADAVIA AV. 11526,RIVADAVIA AV.,11526,11500,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,11.0,2025
U1DC21,"FALCON, RAMON L.,CNEL. 7115","FALCON, RAMON L.,CNEL.",7115,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,12.0,2025
U5F4C7,"FALCON, RAMON L.,CNEL. 7119","FALCON, RAMON L.,CNEL.",7119,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
UC76E6,"FALCON, RAMON L.,CNEL. 7121","FALCON, RAMON L.,CNEL.",7121,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
UDEDCF,"FALCON, RAMON L.,CNEL. 7123","FALCON, RAMON L.,CNEL.",7123,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
U13260,"FALCON, RAMON L.,CNEL. 7129","FALCON, RAMON L.,CNEL.",7129,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
UC4A76,"FALCON, RAMON L.,CNEL. 7131","FALCON, RAMON L.,CNEL.",7131,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
U36A7B,"FALCON, RAMON L.,CNEL. 7135","FALCON, RAMON L.,CNEL.",7135,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
UA72CC,"FALCON, RAMON L.,CNEL. 7137","FALCON, RAMON L.,CNEL.",7137,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
U6754D,"FALCON, RAMON L.,CNEL. 7139","FALCON, RAMON L.,CNEL.",7139,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
UED244,"FALCON, RAMON L.,CNEL. 7145","FALCON, RAMON L.,CNEL.",7145,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
UB0A7D,"FALCON, RAMON L.,CNEL. 7147","FALCON, RAMON L.,CNEL.",7147,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
U01676,"FALCON, RAMON L.,CNEL. 7151","FALCON, RAMON L.,CNEL.",7151,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
U15122,"FALCON, RAMON L.,CNEL. 7155","FALCON, RAMON L.,CNEL.",7155,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,9.0,2025
UFF939,"FALCON, RAMON L.,CNEL. 7159","FALCON, RAMON L.,CNEL.",7159,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
U62F70,"FALCON, RAMON L.,CNEL. 7165","FALCON, RAMON L.,CNEL.",7165,7100,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,12.0,2025
U63628,"SUAREZ, JOSE LEON 52","SUAREZ, JOSE LEON",52,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,11.0,2025
U323A4,"SUAREZ, JOSE LEON 54","SUAREZ, JOSE LEON",54,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,9.0,2025
U2FCFC,"SUAREZ, JOSE LEON 56","SUAREZ, JOSE LEON",56,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,9.0,2025
U4DBAA,"SUAREZ, JOSE LEON 58","SUAREZ, JOSE LEON",58,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,9.0,2025
UCC1CB,"SUAREZ, JOSE LEON 60","SUAREZ, JOSE LEON",60,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,9.0,2025
UC74F2,"SUAREZ, JOSE LEON 62","SUAREZ, JOSE LEON",62,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,9.0,2025
U021D0,"SUAREZ, JOSE LEON 64","SUAREZ, JOSE LEON",64,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,11.0,2025
UB514C,MONTIEL 23,MONTIEL,23,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,12.0,2025
UF32E3,MONTIEL 25,MONTIEL,25,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
UA1FBC,MONTIEL 27,MONTIEL,27,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,10.0,2025
U551F0,MONTIEL 29,MONTIEL,29,0,Liniers,65,"65|Cafe:30,Comida al paso:5,Heladeria:6,Parrilla:12,Pizzeria:12",100.0,1.0,28.0,12.0,2025
UFFF22,NUÑEZ 1650,NUÑEZ,1650,1600,Nuñez,55,"55|Bar:10,Cafe:10,Catering:10,Parrilla:5,Pizzeria:10,Restaurante:10",100.0,1.0,2.0,1.0,2025
U8CB94,NUÑEZ 1648,NUÑEZ,1648,1600,Nuñez,55,"55|Bar:10,Cafe:10,Catering:10,Parrilla:5,Pizzeria:10,Restaurante:10",100.0,1.0,2.0,1.0,2025
U20F25,ENTRE RIOS AV. 648,ENTRE RIOS AV.,648,600,Monserrat,64,"64|Comida al paso:32,Panaderia:32",100.0,1.0,2.0,1.0,2025
UDBF9B,ENTRE RIOS AV. 650,ENTRE RIOS AV.,650,600,Monserrat,64,"64|Comida al paso:32,Panaderia:32",100.0,1.0,2.0,1.0,2025
U58CBB,DEL COMERCIO 1284,DEL COMERCIO,1284,1200,Parque Chacabuco,24,"24|Bar:6,Cafe:6,Catering:6,Comida al paso:6",100.0,1.0,3.0,1.0,2025
U1BED2,DEL COMERCIO 1286,DEL COMERCIO,1286,1200,Parque Chacabuco,24,"24|Bar:6,Cafe:6,Catering:6,Comida al paso:6",100.0,1.0,3.0,1.0,2025
U980D1,ASAMBLEA AV. 849,ASAMBLEA AV.,849,800,Parque Chacabuco,24,"24|Bar:6,Cafe:6,Catering:6,Comida al paso:6",100.0,1.0,3.0,1.0,2025
U8A76D,"GALLARDO, ANGEL AV. 602","GALLARDO, ANGEL AV.",602,600,Caballito,22,22|Cafe:22,100.0,1.0,1.0,1.0,2025
UF471D,PEÑA 2902,PEÑA,2902,2900,Recoleta,48,48|Pizzeria:48,100.0,1.0,1.0,1.0,2025
U8BDEE,DEL LIBERTADOR AV. 6248,DEL LIBERTADOR AV.,6248,6200,Belgrano,40,"40|Bar:10,Cafe:10,Catering:10,Restaurante:10",100.0,1.0,1.0,1.0,2025
U3D69B,CORRIENTES AV. 3954,CORRIENTES AV.,3954,3900,Almagro,24,"24|Bar:3,Cafe:3,Catering:3,Comida al paso:3,Parrilla:3,Pasteleria:3,Pizzeria:3,Restaurante:3",100.0,1.0,1.0,1.0,2025
U348BF,POSADAS 1059,POSADAS,1059,1000,Retiro,21,"21|Bar:7,Cafe:7,Catering:7",85.7,1.0,3.0,1.0,2015-2018/2025
U95805,POSADAS 1029,POSADAS,1029,1000,Retiro,32,"32|Bar:8,Cafe:8,Catering:8,Restaurante:8",87.5,1.0,3.0,1.0,2015-2018/2025
