direccion,patron,anio_habilitacion,clave_habilitacion,partida_matriz,archivo_origen,comuna,misma_partida
ANDONAEGUI 2191,despacho_de_pan,2016,250303/1,351180,f02_habilitaciones_aprobadas_2015_2018.csv,12,si
ASAMBLEA AV. 1382,elaboracion_panaderia_venta_directa,2016,307205/7,47635,f02_habilitaciones_aprobadas_2015_2018.csv,7,si
ASAMBLEA AV. 1382,elaboracion_panaderia_venta_directa,2021,441642/7,47635,f02_habilitaciones_aprobadas_2021.csv,7,si
BAUNESS 2589,elaboracion_panaderia_venta_directa,2015,239449/8,352113,f02_habilitaciones_aprobadas_2015_2018.csv,12,si
BAUNESS 2589,elaboracion_panaderia_venta_directa,2021,444199/8,352113,f02_habilitaciones_aprobadas_2021.csv,12,si
"BEIRO, FRANCISCO AV. 4951",elaboracion_panaderia_venta_directa,2017,342137,281978,f02_habilitaciones_aprobadas_2015_2018.csv,11,si
"BEIRO, FRANCISCO AV. 4951",elaboracion_panaderia_venta_directa,2021,433409,281978,f02_habilitaciones_aprobadas_2021.csv,11,si
BELGRANO AV. 1414,elaboracion_panaderia_venta_directa,2016,245410/1,218843,f02_habilitaciones_aprobadas_2015_2018.csv,1,si
BELGRANO AV. 1414,elaboracion_panaderia_venta_directa,2021,417429/1,218843,f02_habilitaciones_aprobadas_2021.csv,1,si
BILLINGHURST 422,elaboracion_panaderia_venta_directa,2021,427761/2,192400,f02_habilitaciones_aprobadas_2021.csv,5,si
BILLINGHURST 422,elaboracion_panaderia_venta_directa,2022,448348/2,192400,f02_habilitaciones_aprobadas_2022.csv,5,si
BLANCO ENCALADA 2288,elaboracion_panaderia_venta_directa,2016,301044/6,336168,f02_habilitaciones_aprobadas_2015_2018.csv,13,si
BLANCO ENCALADA 2288,elaboracion_panaderia_venta_directa,2021,425146/6,336168,f02_habilitaciones_aprobadas_2021.csv,13,si
BOEDO AV. 1834,elaboracion_panaderia_venta_directa,2016,245059,104419,f02_habilitaciones_aprobadas_2015_2018.csv,5,si
BOEDO AV. 1834,elaboracion_panaderia_venta_directa,2022,465192,104419,f02_habilitaciones_aprobadas_2022.csv,5,si
BOEDO AV. 575,elaboracion_panaderia_venta_directa,2016,241396/1,150272,f02_habilitaciones_aprobadas_2015_2018.csv,5,si
BOEDO AV. 575,elaboracion_panaderia_venta_directa,2021,427702/1,150272,f02_habilitaciones_aprobadas_2021.csv,5,si
"BROWN, ALTE. AV. 947",elaboracion_panaderia_venta_directa,2016,245088/1,121086,f02_habilitaciones_aprobadas_2015_2018.csv,4,si
"BROWN, ALTE. AV. 947",elaboracion_panaderia_venta_directa,2022,445535/1,121086,f02_habilitaciones_aprobadas_2022.csv,4,si
CABILDO AV. 2755,elaboracion_panaderia_venta_directa,2017,343736,336795,f02_habilitaciones_aprobadas_2015_2018.csv,13,si
CABILDO AV. 2755,elaboracion_panaderia_venta_directa,2020,416475,336795,f02_habilitaciones_aprobadas_2020.csv,13,si
CABILDO AV. 2876,elaboracion_panaderia_venta_directa,2017,301715,373094,f02_habilitaciones_aprobadas_2015_2018.csv,13,si
CABILDO AV. 2876,elaboracion_panaderia_venta_directa,2021,441310,373094,f02_habilitaciones_aprobadas_2021.csv,13,si
CAJARAVILLA 4111,elaboracion_panaderia_venta_directa,2017,302291,4034,f02_habilitaciones_aprobadas_2015_2018.csv,10,si
CAJARAVILLA 4111,elaboracion_panaderia_venta_directa,2018,345959,4034,f02_habilitaciones_aprobadas_2015_2018.csv,10,si
"CALVO, CARLOS 1784",despacho_de_pan,2016,244371/2,213686,f02_habilitaciones_aprobadas_2015_2018.csv,1,si
"CALVO, CARLOS 1784",despacho_de_pan,2018,366672/2,213686,f02_habilitaciones_aprobadas_2015_2018.csv,1,si
"CALVO, CARLOS 3699",despacho_de_pan,2016,245037/1,150419,f02_habilitaciones_aprobadas_2015_2018.csv,5,si
"CALVO, CARLOS 3699",despacho_de_pan,2018,365199/1,150419,f02_habilitaciones_aprobadas_2015_2018.csv,5,si
CARABOBO AV. 297,elaboracion_panaderia_ncp,2019,380133/2,140710,f02_habilitaciones_aprobadas_2019.csv,7,si
CARABOBO AV. 297,elaboracion_panaderia_ncp,2020,417748/2,140710,f02_habilitaciones_aprobadas_2020.csv,7,si
"CARRIL, SALVADOR MARIA DEL AV. 2110",elaboracion_panaderia_venta_directa,2019,395081/7,313084,f02_habilitaciones_aprobadas_2019.csv,15,si
"CARRIL, SALVADOR MARIA DEL AV. 2110",elaboracion_panaderia_venta_directa,2022,460993/7,313084,f02_habilitaciones_aprobadas_2022.csv,15,si
"CASTRO, EMILIO AV. 6208",elaboracion_panaderia_venta_directa,2017,308027/4,14127,f02_habilitaciones_aprobadas_2015_2018.csv,9,si
"CASTRO, EMILIO AV. 6208",elaboracion_panaderia_venta_directa,2018,359679/4,14127,f02_habilitaciones_aprobadas_2015_2018.csv,9,si
CHARCAS 4787,despacho_de_pan,2017,351015/11,431935,f02_habilitaciones_aprobadas_2015_2018.csv,14,si
CHARCAS 4787,despacho_de_pan,2019,376449/11,431935,f02_habilitaciones_aprobadas_2019.csv,14,si
CHICLANA AV. 3528,elaboracion_panaderia_venta_directa,2015,235837,910140,f02_habilitaciones_aprobadas_2015_2018.csv,5,si
CHICLANA AV. 3528,elaboracion_panaderia_venta_directa,2018,372467,910140,f02_habilitaciones_aprobadas_2015_2018.csv,5,si
CORDOBA AV. 4451,elaboracion_panaderia_venta_directa,2020,389304,421082,f02_habilitaciones_aprobadas_2020.csv,14,si
